date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:50:17	205505/205505	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jun%202021%2008:57:25%20GMT	https://piquant.qodeinteractive.com/bbq-home/	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/bbq-home/index.html	(from https://piquant.qodeinteractive.com/)
06:50:17	14065/14065	---M--	200	added ('OK')	image/png	etag:%2236f1-59e74c0d73107%22	https://piquant.qodeinteractive.com/wp-content/uploads/2015/11/home-1-slide-1-graphic-7b.png	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-content/uploads/2015/11/home-1-slide-1-graphic-7b.png	(from https://piquant.qodeinteractive.com/)
06:50:17	158577/158577	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jun%202021%2008:51:55%20GMT	https://piquant.qodeinteractive.com/fullscreen-home/	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/fullscreen-home/index.html	(from https://piquant.qodeinteractive.com/)
06:50:17	143914/143914	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jun%202021%2008:43:37%20GMT	https://piquant.qodeinteractive.com/reservations-open-table/	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/reservations-open-table/index.html	(from https://piquant.qodeinteractive.com/)
06:50:17	11041/11041	---M--	200	added ('OK')	image/png	etag:%222b21-59e74c0d734ef%22	https://piquant.qodeinteractive.com/wp-content/uploads/2015/11/home-1-slide-1-graphic-7c.png	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-content/uploads/2015/11/home-1-slide-1-graphic-7c.png	(from https://piquant.qodeinteractive.com/)
06:50:18	155998/155998	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jun%202021%2008:16:07%20GMT	https://piquant.qodeinteractive.com/standard-list/	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/standard-list/index.html	(from https://piquant.qodeinteractive.com/)
06:50:18	23972/23972	---M--	200	added ('OK')	image/png	etag:%225da4-59e74c0d738d7%22	https://piquant.qodeinteractive.com/wp-content/uploads/2015/11/home-1-slide-1-graphic-7d.png	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-content/uploads/2015/11/home-1-slide-1-graphic-7d.png	(from https://piquant.qodeinteractive.com/)
06:50:18	142288/142288	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jun%202021%2008:53:46%20GMT	https://piquant.qodeinteractive.com/menu-gallery/	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/menu-gallery/index.html	(from https://piquant.qodeinteractive.com/)
06:50:18	164159/164159	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jun%202021%2009:11:06%20GMT	https://piquant.qodeinteractive.com/gallery-list-combo/	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/gallery-list-combo/index.html	(from https://piquant.qodeinteractive.com/)
06:50:18	5783/5783	---M--	200	added ('OK')	image/png	etag:%221697-59e74c0d7448f%22	https://piquant.qodeinteractive.com/wp-content/uploads/2015/11/home-1-slide-1-graphic-9.png	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-content/uploads/2015/11/home-1-slide-1-graphic-9.png	(from https://piquant.qodeinteractive.com/)
